Time_Index,MA_Diesel,MA_Biodiesel,MA_Methanol,MA_Hydrogen,MA_Ammonia,MA_Primary_Al_Air,MA_Electricity,None
80,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
81,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
82,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
83,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
84,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
85,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
86,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
87,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
88,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
89,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
90,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
91,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
92,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
93,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
94,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
95,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
96,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
97,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
98,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
99,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
100,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
101,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
102,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
103,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
104,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
105,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
106,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
107,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
108,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
109,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
110,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
111,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
112,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
113,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
114,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
115,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
116,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
117,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
118,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
119,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
120,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
121,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
122,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
123,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
124,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
125,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
126,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
127,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
128,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
129,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
