Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,hospital_demand_ma,hospital_demand_ma
500000.0,1.0,1.0,1.0,20000.0,6.0,480.0,1.22930064,1180.7543663062756,0.0
,,,,,,,0.00958608,1158.4733659312424,0.0
,,,,,,,0.04823472,1116.9301806057458,0.0
,,,,,,,0.23265264,1050.8228739069623,0.0
,,,,,,,0.00197808,0.0,0.0
,,,,,,,2398.4784,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
,,,,,,,,0.0,0.0
