fips_code,county,state,customers_out,run_start_time,Weekend,Season,hour,month,season,outage_id,duration_intervals,duration_minutes,duration_category,customer_outage_minutes,cluster,15min_interval
25025,Suffolk,Massachusetts,201.0,2020-01-11 07:00:00,1,3,7,1,Winter,38,14,210,181-360min,42210.0,0,"[210, 225)"
25025,Suffolk,Massachusetts,2.0,2020-01-11 12:00:00,1,3,12,1,Winter,39,67,1005,361-1440min,2010.0,3,"[1005, 1020)"
25025,Suffolk,Massachusetts,20.0,2020-01-12 10:30:00,1,3,10,1,Winter,40,7,105,61-180min,2100.0,0,"[105, 120)"
25025,Suffolk,Massachusetts,1.0,2020-01-12 13:30:00,1,3,13,1,Winter,41,2,30,0-60min,30.0,0,"[30, 45)"
25025,Suffolk,Massachusetts,123.0,2020-01-12 16:15:00,1,3,16,1,Winter,42,67,1005,361-1440min,123615.0,3,"[1005, 1020)"
25025,Suffolk,Massachusetts,1.0,2020-01-13 12:30:00,0,3,12,1,Winter,43,44,660,361-1440min,660.0,1,"[660, 675)"
25025,Suffolk,Massachusetts,1.0,2020-01-14 01:15:00,0,3,1,1,Winter,44,7,105,61-180min,105.0,0,"[105, 120)"
25025,Suffolk,Massachusetts,1.0,2020-01-14 16:45:00,0,3,16,1,Winter,45,31,465,361-1440min,465.0,1,"[465, 480)"
25025,Suffolk,Massachusetts,49.0,2020-01-15 13:30:00,0,3,13,1,Winter,46,6,90,61-180min,4410.0,0,"[90, 105)"
25025,Suffolk,Massachusetts,1.0,2020-01-15 20:00:00,0,3,20,1,Winter,47,10,150,61-180min,150.0,0,"[150, 165)"
25025,Suffolk,Massachusetts,1.0,2020-01-16 01:45:00,0,3,1,1,Winter,48,1,15,0-60min,15.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,1.0,2020-01-16 04:00:00,0,3,4,1,Winter,49,24,360,181-360min,360.0,1,"[360, 375)"
25025,Suffolk,Massachusetts,24.0,2020-01-16 17:45:00,0,3,17,1,Winter,50,1,15,0-60min,360.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,1.0,2020-01-16 18:15:00,0,3,18,1,Winter,51,67,1005,361-1440min,1005.0,3,"[1005, 1020)"
25025,Suffolk,Massachusetts,1.0,2020-01-17 12:00:00,0,3,12,1,Winter,52,13,195,181-360min,195.0,0,"[195, 210)"
25025,Suffolk,Massachusetts,1.0,2020-01-17 15:30:00,0,3,15,1,Winter,53,2,30,0-60min,30.0,0,"[30, 45)"
25025,Suffolk,Massachusetts,1.0,2020-01-17 19:30:00,0,3,19,1,Winter,54,10,150,61-180min,150.0,0,"[150, 165)"
25025,Suffolk,Massachusetts,1.0,2020-01-17 22:30:00,0,3,22,1,Winter,55,3,45,0-60min,45.0,0,"[45, 60)"
25025,Suffolk,Massachusetts,1.0,2020-01-18 05:45:00,1,3,5,1,Winter,56,3,45,0-60min,45.0,0,"[45, 60)"
25025,Suffolk,Massachusetts,84.0,2020-01-18 08:00:00,1,3,8,1,Winter,57,2,30,0-60min,2520.0,0,"[30, 45)"
25025,Suffolk,Massachusetts,1.0,2020-01-18 14:00:00,1,3,14,1,Winter,58,1,15,0-60min,15.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,1.0,2020-01-18 14:45:00,1,3,14,1,Winter,59,1,15,0-60min,15.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,1.0,2020-01-18 19:15:00,1,3,19,1,Winter,60,1,15,0-60min,15.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,1.0,2020-01-18 20:30:00,1,3,20,1,Winter,61,5,75,61-180min,75.0,0,"[75, 90)"
25025,Suffolk,Massachusetts,2862.0,2020-01-18 23:30:00,1,3,23,1,Winter,62,14,210,181-360min,601020.0,0,"[210, 225)"
25025,Suffolk,Massachusetts,1.0,2020-01-19 03:15:00,1,3,3,1,Winter,63,1,15,0-60min,15.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,1.0,2020-01-19 04:00:00,1,3,4,1,Winter,64,1,15,0-60min,15.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,1.0,2020-01-19 08:00:00,1,3,8,1,Winter,65,5,75,61-180min,75.0,0,"[75, 90)"
25025,Suffolk,Massachusetts,2.0,2020-01-19 13:15:00,1,3,13,1,Winter,66,81,1215,361-1440min,2430.0,3,"[1215, 1230)"
25025,Suffolk,Massachusetts,1.0,2020-01-20 12:45:00,0,3,12,1,Winter,67,36,540,361-1440min,540.0,1,"[540, 555)"
25025,Suffolk,Massachusetts,57.0,2020-01-21 03:00:00,0,3,3,1,Winter,68,4,60,0-60min,3420.0,0,"[60, 75)"
25025,Suffolk,Massachusetts,1.0,2020-01-21 12:15:00,0,3,12,1,Winter,69,9,135,61-180min,135.0,0,"[135, 150)"
25025,Suffolk,Massachusetts,139.0,2020-01-21 15:30:00,0,3,15,1,Winter,70,29,435,361-1440min,60465.0,1,"[435, 450)"
25025,Suffolk,Massachusetts,1.0,2020-01-22 01:30:00,0,3,1,1,Winter,71,6,90,61-180min,90.0,0,"[90, 105)"
25025,Suffolk,Massachusetts,2.0,2020-01-22 10:30:00,0,3,10,1,Winter,72,33,495,361-1440min,990.0,1,"[495, 510)"
25025,Suffolk,Massachusetts,2.0,2020-01-22 22:30:00,0,3,22,1,Winter,73,20,300,181-360min,600.0,0,"[300, 315)"
25025,Suffolk,Massachusetts,2.0,2020-01-23 19:00:00,0,3,19,1,Winter,74,5,75,61-180min,150.0,0,"[75, 90)"
25025,Suffolk,Massachusetts,1.0,2020-01-23 23:45:00,0,3,23,1,Winter,75,11,165,61-180min,165.0,0,"[165, 180)"
25025,Suffolk,Massachusetts,109.0,2020-01-24 02:45:00,0,3,2,1,Winter,76,11,165,61-180min,17985.0,0,"[165, 180)"
25025,Suffolk,Massachusetts,1.0,2020-01-24 06:45:00,0,3,6,1,Winter,77,13,195,181-360min,195.0,0,"[195, 210)"
25025,Suffolk,Massachusetts,1.0,2020-01-24 15:30:00,0,3,15,1,Winter,78,17,255,181-360min,255.0,0,"[255, 270)"
25025,Suffolk,Massachusetts,14.0,2020-01-25 01:45:00,1,3,1,1,Winter,79,7,105,61-180min,1470.0,0,"[105, 120)"
25025,Suffolk,Massachusetts,55.0,2020-01-25 11:00:00,1,3,11,1,Winter,80,7,105,61-180min,5775.0,0,"[105, 120)"
25025,Suffolk,Massachusetts,1.0,2020-01-25 15:30:00,1,3,15,1,Winter,81,14,210,181-360min,210.0,0,"[210, 225)"
25025,Suffolk,Massachusetts,2764.0,2020-01-26 00:45:00,1,3,0,1,Winter,82,5,75,61-180min,207300.0,0,"[75, 90)"
25025,Suffolk,Massachusetts,2.0,2020-01-26 16:00:00,1,3,16,1,Winter,83,1,15,0-60min,30.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,1.0,2020-01-26 19:30:00,1,3,19,1,Winter,84,2,30,0-60min,30.0,0,"[30, 45)"
25025,Suffolk,Massachusetts,163.0,2020-01-26 20:30:00,1,3,20,1,Winter,85,1,15,0-60min,2445.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,1.0,2020-01-26 22:00:00,1,3,22,1,Winter,86,1,15,0-60min,15.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,1.0,2020-01-26 22:30:00,1,3,22,1,Winter,87,8,120,61-180min,120.0,0,"[120, 135)"
25025,Suffolk,Massachusetts,2.0,2020-01-27 01:30:00,0,3,1,1,Winter,88,36,540,361-1440min,1080.0,1,"[540, 555)"
25025,Suffolk,Massachusetts,1.0,2020-01-27 13:30:00,0,3,13,1,Winter,89,2,30,0-60min,30.0,0,"[30, 45)"
25025,Suffolk,Massachusetts,21.0,2020-01-27 14:45:00,0,3,14,1,Winter,90,4,60,0-60min,1260.0,0,"[60, 75)"
25025,Suffolk,Massachusetts,1.0,2020-01-27 17:45:00,0,3,17,1,Winter,91,10,150,61-180min,150.0,0,"[150, 165)"
25025,Suffolk,Massachusetts,1.0,2020-01-27 22:00:00,0,3,22,1,Winter,92,2,30,0-60min,30.0,0,"[30, 45)"
25025,Suffolk,Massachusetts,1.0,2020-01-28 01:30:00,0,3,1,1,Winter,93,2,30,0-60min,30.0,0,"[30, 45)"
25025,Suffolk,Massachusetts,1.0,2020-01-28 09:30:00,0,3,9,1,Winter,94,10,150,61-180min,150.0,0,"[150, 165)"
25025,Suffolk,Massachusetts,1.0,2020-01-28 12:15:00,0,3,12,1,Winter,95,2,30,0-60min,30.0,0,"[30, 45)"
25025,Suffolk,Massachusetts,1.0,2020-01-28 15:30:00,0,3,15,1,Winter,96,18,270,181-360min,270.0,0,"[270, 285)"
25025,Suffolk,Massachusetts,229.0,2020-01-28 23:30:00,0,3,23,1,Winter,97,50,750,361-1440min,171750.0,1,"[750, 765)"
25025,Suffolk,Massachusetts,1.0,2020-01-29 13:45:00,0,3,13,1,Winter,98,8,120,61-180min,120.0,0,"[120, 135)"
25025,Suffolk,Massachusetts,1.0,2020-01-29 16:30:00,0,3,16,1,Winter,99,2,30,0-60min,30.0,0,"[30, 45)"
25025,Suffolk,Massachusetts,1.0,2020-01-29 18:30:00,0,3,18,1,Winter,100,18,270,181-360min,270.0,0,"[270, 285)"
25025,Suffolk,Massachusetts,128.0,2020-01-30 07:00:00,0,3,7,1,Winter,101,5,75,61-180min,9600.0,0,"[75, 90)"
25025,Suffolk,Massachusetts,643.0,2020-01-30 16:00:00,0,3,16,1,Winter,102,4,60,0-60min,38580.0,0,"[60, 75)"
25025,Suffolk,Massachusetts,1.0,2020-01-30 21:30:00,0,3,21,1,Winter,103,3,45,0-60min,45.0,0,"[45, 60)"
25025,Suffolk,Massachusetts,1.0,2020-01-30 23:30:00,0,3,23,1,Winter,104,8,120,61-180min,120.0,0,"[120, 135)"
25025,Suffolk,Massachusetts,1.0,2020-01-31 03:30:00,0,3,3,1,Winter,105,38,570,361-1440min,570.0,1,"[570, 585)"
25025,Suffolk,Massachusetts,1.0,2020-01-31 15:00:00,0,3,15,1,Winter,106,7,105,61-180min,105.0,0,"[105, 120)"
25025,Suffolk,Massachusetts,1.0,2020-01-31 19:15:00,0,3,19,1,Winter,107,26,390,361-1440min,390.0,1,"[390, 405)"
25025,Suffolk,Massachusetts,1.0,2020-02-01 04:00:00,1,3,4,2,Winter,108,7,105,61-180min,105.0,0,"[105, 120)"
25025,Suffolk,Massachusetts,77.0,2020-02-01 07:00:00,1,3,7,2,Winter,109,24,360,181-360min,27720.0,1,"[360, 375)"
25025,Suffolk,Massachusetts,1.0,2020-02-01 16:15:00,1,3,16,2,Winter,110,1,15,0-60min,15.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,1.0,2020-02-01 16:45:00,1,3,16,2,Winter,111,6,90,61-180min,90.0,0,"[90, 105)"
25025,Suffolk,Massachusetts,1.0,2020-02-02 00:00:00,1,3,0,2,Winter,112,1,15,0-60min,15.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,81.0,2020-02-02 01:15:00,1,3,1,2,Winter,113,3,45,0-60min,3645.0,0,"[45, 60)"
25025,Suffolk,Massachusetts,1.0,2020-02-02 05:15:00,1,3,5,2,Winter,114,1,15,0-60min,15.0,0,"[15, 30)"
