Time_Index,solar_pv,rolling_avg,max_480_rolling
2801,0.1042385,0.06188695729166667,0.1042385
2802,0.05865975,0.06204223385416666,0.05865975
2803,0.020495,0.06212738697916667,0.020495
2804,0.0022005,0.06216032447916667,0.0022005
2805,0.0,0.06216886666666666,0.0
2806,0.0,0.06216886666666666,0.0
2807,0.0,0.06216886666666666,0.0
2808,0.0,0.06216886666666666,0.0
2809,0.0,0.06216886666666666,0.0
2810,0.0,0.06216886666666666,0.0
2811,0.0,0.06216886666666666,0.0
2812,0.0,0.06216886666666666,0.0
2813,0.0,0.06216886666666666,0.0
2814,1e-06,0.06216886666666666,1e-06
2815,0.00879675,0.06217011666666667,0.00879675
2816,0.03864975,0.06219564270833333,0.03864975
2817,0.09496975,0.062268671874999994,0.09496975
2818,0.1483855,0.062414036458333336,0.1483855
2819,0.1931225,0.0626108953125,0.1931225
2820,0.21774275,0.06282066510416667,0.21774275
2821,0.23081375,0.06301995416666667,0.23081375
2822,0.226971,0.06319551822916666,0.226971
2823,0.2111325,0.06331849635416667,0.2111325
2824,0.17694775,0.0634399703125,0.17694775
2825,0.1282125,0.06353038697916666,0.1282125
2826,0.07060825,0.06358473125,0.07060825
2827,0.02390425,0.063602734375,0.02390425
2828,0.0022995,0.06361219635416666,0.0022995
2829,0.0,0.06361823854166666,0.0
2830,0.0,0.06361823854166666,0.0
2831,0.0,0.06361823854166666,0.0
2832,0.0,0.06361823854166666,0.0
2833,0.0,0.06361823854166666,0.0
2834,0.0,0.06361823854166666,0.0
2835,0.0,0.06361823854166666,0.0
2836,0.0,0.06361823854166666,0.0
2837,0.0,0.06361823854166666,0.0
2838,2.5e-06,0.06361823854166666,2.5e-06
2839,0.00881225,0.06361917656249999,0.00881225
2840,0.04026375,0.06363105625,0.04026375
2841,0.09300825,0.063635025,0.09300825
2842,0.1496595,0.06362626979166666,0.1496595
2843,0.1948855,0.06358932083333332,0.1948855
2844,0.2220095,0.06355820468750001,0.2220095
2845,0.2312045,0.06354051510416667,0.2312045
2846,0.2250055,0.06352409114583334,0.2250055
2847,0.206702,0.06350835364583333,0.206702
2848,0.17644475,0.0634842609375,0.17644475
2849,0.1289615,0.06346193645833333,0.1289615
2850,0.0720145,0.06343253958333334,0.0720145
2851,0.02450575,0.06341744843750001,0.02450575
2852,0.0023015,0.06342097031249999,0.0023015
2853,0.0,0.06342638541666666,0.0
2854,0.0,0.06342638541666666,0.0
2855,0.0,0.06342638541666666,0.0
2856,0.0,0.06342638541666666,0.0
2857,0.0,0.06342638541666666,0.0
2858,0.0,0.06342638541666666,0.0
2859,0.0,0.06342638541666666,0.0
2860,0.0,0.06342638541666666,0.0
2861,0.0,0.06342638541666666,0.0
2862,2e-06,0.06342638541666666,2e-06
2863,0.00800525,0.06342753072916667,0.00800525
2864,0.040781,0.06345153437500001,0.040781
2865,0.086723,0.06349063697916667,0.086723
2866,0.12906425,0.06352387239583333,0.12906425
2867,0.16202175,0.06352962083333333,0.16202175
2868,0.18172075,0.06351486302083334,0.18172075
2869,0.18013575,0.06350070520833334,0.18013575
2870,0.176951,0.06348224322916667,0.176951
2871,0.152115,0.06347673125,0.152115
2872,0.1282775,0.06348908645833333,0.1282775
2873,0.09144,0.063504128125,0.09144
2874,0.05377125,0.06352983854166666,0.05377125
2875,0.0202545,0.0635601625,0.0202545
2876,0.0024525,0.06358183593750001,0.0024525
2877,0.0,0.06358891822916667,0.0
2878,0.0,0.06358891822916667,0.0
2879,0.0,0.06358891822916667,0.0
