Time_Index,solar_pv,rolling_avg,min_480_rolling
69690,0.0,0.01088320625,0.0
69691,0.0,0.01088320625,0.0
69692,0.0,0.01088320625,0.0
69693,0.0,0.01088320625,0.0
69694,0.0,0.01088320625,0.0
69695,0.0,0.01088320625,0.0
69696,0.0,0.01088320625,0.0
69697,0.0,0.01088320625,0.0
69698,0.0,0.01088320625,0.0
69699,0.0,0.01088320625,0.0
69700,0.0,0.01088320625,0.0
69701,0.0,0.01088320625,0.0
69702,0.0,0.01088320625,0.0
69703,0.0,0.01088320625,0.0
69704,0.00139375,0.01088320625,0.00139375
69705,0.007698,0.010878059895833332,0.007698
69706,0.015621,0.010841534375,0.015621
69707,0.02338175,0.0107680609375,0.02338175
69708,0.0252115,0.010654352083333334,0.0252115
69709,0.016747,0.0105325859375,0.016747
69710,0.008823,0.0104235515625,0.008823
69711,0.00530125,0.010357402604166668,0.00530125
69712,0.0014015,0.0103388234375,0.0014015
69713,5e-05,0.010338894270833334,5e-05
69714,0.0,0.0103389984375,0.0
69715,0.0,0.0103389984375,0.0
69716,0.0,0.0103389984375,0.0
69717,0.0,0.0103389984375,0.0
69718,0.0,0.0103389984375,0.0
69719,0.0,0.0103389984375,0.0
69720,0.0,0.0103389984375,0.0
69721,0.0,0.0103389984375,0.0
69722,0.0,0.0103389984375,0.0
69723,0.0,0.0103389984375,0.0
69724,0.0,0.0103389984375,0.0
69725,0.0,0.0103389984375,0.0
69726,0.0,0.0103389984375,0.0
69727,0.0,0.0103389984375,0.0
69728,0.0005505,0.0103389984375,0.0005505
69729,0.0085435,0.010340454166666667,0.0085435
69730,0.01564325,0.0103579984375,0.01564325
69731,0.02142625,0.010394863020833334,0.02142625
69732,0.02357025,0.01047314375,0.02357025
69733,0.026991,0.010596922916666666,0.026991
69734,0.0215105,0.010705209895833333,0.0215105
69735,0.0130035,0.010783554166666666,0.0130035
69736,0.0039435,0.010817758333333333,0.0039435
69737,5.05e-05,0.010828072395833334,5.05e-05
69738,0.0,0.010828384895833333,0.0
69739,0.0,0.010828384895833333,0.0
69740,0.0,0.010828384895833333,0.0
69741,0.0,0.010828384895833333,0.0
69742,0.0,0.010828384895833333,0.0
69743,0.0,0.010828384895833333,0.0
69744,0.0,0.010828384895833333,0.0
69745,0.0,0.010828384895833333,0.0
69746,0.0,0.010828384895833333,0.0
69747,0.0,0.010828384895833333,0.0
69748,0.0,0.010828384895833333,0.0
69749,0.0,0.010828384895833333,0.0
69750,0.0,0.010828384895833333,0.0
69751,0.0,0.010828384895833333,0.0
69752,0.0025925,0.010828384895833333,0.0025925
69753,0.00931825,0.0108235953125,0.00931825
69754,0.029536,0.010786782291666666,0.029536
69755,0.0518805,0.010693934375,0.0518805
69756,0.05867925,0.010583156250000001,0.05867925
69757,0.05512975,0.010480405729166668,0.05512975
69758,0.04081375,0.010351150520833333,0.04081375
69759,0.02492075,0.010233452604166667,0.02492075
69760,0.0083005,0.010165884374999998,0.0083005
69761,0.00024975,0.010146721354166667,0.00024975
69762,0.0,0.010146201041666667,0.0
69763,0.0,0.010146201041666667,0.0
69764,0.0,0.010146201041666667,0.0
69765,0.0,0.010146201041666667,0.0
69766,0.0,0.010146201041666667,0.0
69767,0.0,0.010146201041666667,0.0
69768,0.0,0.010146201041666667,0.0
69769,0.0,0.010146201041666667,0.0
69770,0.0,0.010146201041666667,0.0
69771,0.0,0.010146201041666667,0.0
69772,0.0,0.010146201041666667,0.0
69773,0.0,0.010146201041666667,0.0
69774,0.0,0.010146201041666667,0.0
69775,0.0,0.010146201041666667,0.0
69776,0.00075125,0.010146201041666667,0.00075125
69777,0.00368,0.0101457671875,0.00368
69778,0.01814725,0.010148082812499999,0.01814725
69779,0.029357,0.010148484895833334,0.029357
69780,0.03888175,0.010150213020833333,0.03888175
69781,0.03495875,0.010149003125,0.03495875
69782,0.022586,0.0101620703125,0.022586
69783,0.0127905,0.010184063541666668,0.0127905
69784,0.0046115,0.010207396875,0.0046115
69785,0.00025025,0.010214905208333335,0.00025025
69786,0.0,0.010215321354166668,0.0
69787,0.0,0.010215321354166668,0.0
69788,0.0,0.010215321354166668,0.0
69789,0.0,0.010215321354166668,0.0
69790,0.0,0.010215321354166668,0.0
69791,0.0,0.010215321354166668,0.0
69792,0.0,0.010215321354166668,0.0
69793,0.0,0.010215321354166668,0.0
69794,0.0,0.010215321354166668,0.0
69795,0.0,0.010215321354166668,0.0
69796,0.0,0.010215321354166668,0.0
69797,0.0,0.010215321354166668,0.0
69798,0.0,0.010215321354166668,0.0
69799,0.0,0.010215321354166668,0.0
69800,0.00105175,0.010215321354166668,0.00105175
69801,0.009073,0.0102146953125,0.009073
69802,0.025599,0.010225146354166666,0.025599
69803,0.03123475,0.010237907291666666,0.03123475
69804,0.04305225,0.010258857812500001,0.04305225
69805,0.0369755,0.010295176041666666,0.0369755
69806,0.03308525,0.010344340104166665,0.03308525
69807,0.01995675,0.010414761979166666,0.01995675
69808,0.0052625,0.010478569270833332,0.0052625
69809,0.00019975,0.010500153125,0.00019975
69810,0.0,0.010500882291666668,0.0
69811,0.0,0.010500882291666668,0.0
69812,0.0,0.010500882291666668,0.0
69813,0.0,0.010500882291666668,0.0
69814,0.0,0.010500882291666668,0.0
69815,0.0,0.010500882291666668,0.0
69816,0.0,0.010500882291666668,0.0
69817,0.0,0.010500882291666668,0.0
69818,0.0,0.010500882291666668,0.0
69819,0.0,0.010500882291666668,0.0
69820,0.0,0.010500882291666668,0.0
69821,0.0,0.010500882291666668,0.0
69822,0.0,0.010500882291666668,0.0
