Time_Index,MA_Diesel_Gen,MA_Biodiesel_Gen,MA_Methanol_FC,MA_Hydrogen_FC,MA_Ammonia_Gen,MA_Primary_Al_Air_BESS,MA_Secondary_Li_Ion_BESS,MA_Secondary_Iron_Air_BESS
1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1
